codigo_oc,nombre_oc,fecha_creacion,tipo,codigo_licitacion,estado,organismo_codigo,organismo_nombre,organismo_rut,comuna,region,proveedor_codigo,proveedor_nombre,proveedor_rut,proveedor_comuna,proveedor_region,item_correlativo,codigo_categoria,categoria,codigo_producto,producto,especificacion_comprador,cantidad,unidad,moneda,precio_neto_unitario,total_linea_derivado,total_item_reportado
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,3,39111800,Artículos eléctricos y de iluminación / Artefactos y accesorios de iluminación / Accesorios para iluminación,39111810,Interruptor de lámpara,interruptor 9/12 embutido blanco,10.0,,CLP,1500.0,15000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,4,39121700,Artículos eléctricos y de iluminación / Equipamiento y artículos eléctricos / Suministros y accesorios eléctricos,39121715,Tubos corrugados para cableado posterior,tubo conduit de 20mm x 3 mts,10.0,,CLP,1800.0,18000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,5,30103600,"Artículos para estructuras, obras y construcciones / Materiales estructurales básicos / Productos estructurales",30103605,Tablas de madera,pino cepillado de 1x2x3.20,10.0,,CLP,2000.0,20000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,6,31211900,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Accesorios para pintar",31211906,Rodillos de pintar,rodillo chiporro 23cm,20.0,,CLP,2100.0,42000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,7,31161500,Artículos de fabricación y producción / Artículos de ferretería / Tornillos,31161503,Clavo-tornillo,"clavo corriente de 3"" bolsa de un kilogramo",1.0,,CLP,2200.0,2200.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,8,39121400,"Artículos eléctricos y de iluminación / Equipamiento y artículos eléctricos / Conectores, enchufes y terminales",39121402,Enchufes eléctricos,enchufe doble embutido blanco,10.0,,CLP,2200.0,22000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,9,31211600,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Aditivos para pinturas",31211604,Diluyentes para pinturas,Aguarras botella de un litro,20.0,,CLP,2450.0,49000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,10,31161500,Artículos de fabricación y producción / Artículos de ferretería / Tornillos,31161503,Clavo-tornillo,"clavo corriente de 2"" bolsa de un kilogramo",1.0,,CLP,2700.0,2700.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,11,31211900,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Accesorios para pintar",31211904,Brochas,"brocha de 3"" ",20.0,,CLP,2900.0,58000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,12,31161500,Artículos de fabricación y producción / Artículos de ferretería / Tornillos,31161503,Clavo-tornillo,"tornillo hexagonal autoperforante de 2"" con golilla caja de 100 unidades",6.0,,CLP,3250.0,19500.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,13,31211700,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Acabados en general",31211704,Selladores,tapagotera en tubo de 400cc sellador,10.0,,CLP,4880.0,48800.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,14,39101600,"Artículos eléctricos y de iluminación / Artículos de iluminación / Ampolletas, focos y lámparas",39101608,Focos cialiticos,foco sobrepuesto led de 18 watt L/D redondo,5.0,,CLP,4900.0,24500.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,15,30103600,"Artículos para estructuras, obras y construcciones / Materiales estructurales básicos / Productos estructurales",30103605,Tablas de madera,pino dimensionado de 2x3x3.20,6.0,,CLP,5000.0,30000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,16,39101600,"Artículos eléctricos y de iluminación / Artículos de iluminación / Ampolletas, focos y lámparas",39101608,Focos cialiticos,foco embutido led de 18 watt L/D redondo,5.0,,CLP,6600.0,33000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,17,31201500,Artículos de fabricación y producción / Cintas adhesivas y selladores / Cinta adhesiva,31201518,Cinta conductor de electricidad,cinta aisladora super 33,5.0,,CLP,6950.0,34750.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,18,31161500,Artículos de fabricación y producción / Artículos de ferretería / Tornillos,31161503,Clavo-tornillo,"tornillo volcanita de 2"" bolsa de 500 unidades",1.0,,CLP,10000.0,10000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,19,31161500,Artículos de fabricación y producción / Artículos de ferretería / Tornillos,31161503,Clavo-tornillo,"tornillo volcanita de 3"" bolsa de 500 unidades",1.0,,CLP,11000.0,11000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,20,30102200,"Artículos para estructuras, obras y construcciones / Materiales estructurales básicos / Plancha",30102212,Plancha de cinc,lata lisa galvanizada de 1 X 3 mts,4.0,,CLP,14000.0,56000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,21,31211500,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Pinturas",31211501,Pinturas al esmalte,pintura color amarillo oro,3.0,,CLP,27000.0,81000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,22,31211500,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Pinturas",31211505,Pinturas aceitosas,pintura oleo color negro brillante,1.0,,CLP,28500.0,28500.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,23,31211500,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Pinturas",31211501,Pinturas al esmalte,pintura color ocre,8.0,,CLP,28500.0,228000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,24,13101900,"Resinas, cauchos, espumas y elastómeros / Caucho y elastómeros / Plásticos termo estables",13101905,Melamina (MF),melamina 15 mm 183 x 250 color blanco,4.0,,CLP,39990.0,159960.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,25,39101600,"Artículos eléctricos y de iluminación / Artículos de iluminación / Ampolletas, focos y lámparas",39101608,Focos cialiticos,proyector led de 150 watt,4.0,,CLP,44900.0,179600.0,0.0
1000813-46-AG24,LP_ADQUISICIÓN DE VÍVERES PERECIBLES PARA L ACOMISIÓN ALIMENTACION - COMPRA AGIL: 1000813-43-COT24,2024-02-20T10:17:14.967,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1823469,COMERCIAL ANTIQUERA LIMITADA,77.586.078-2,Punta Arenas,Región de Magallanes y de la Antártica,1,50131600,"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Huevos y sustitutos",50131606,Huevos frescos,HUEVOS FRESCOS BLANCOS,7200.0,,CLP,175.0,1260000.0,0.0
1000813-52-SE24,LP_ADQ. DE PASAJES PARA CRUCES POR BARCAZA A IGTF TRAMO PUNTA DELGADA - BAHÍA AZUL desde 1000813-5-LE24,2024-02-23T11:22:24.93,SE,1000813-5-LE24,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24439,TRANSBORDADORA AUSTRAL BROOM S A,82.074.900-6,Punta Arenas,Región de Magallanes y de la Antártica,1,78101700,"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte marítimo de carga",78101703,Servicios de transporte nacional por barcazas,SERV. TRANS. MARITIMO BARCAZA CRUCE PUNTA DELGADA - BAHIA AZUL,26.0,,CLP,15966.0,415116.0,415116.0
1000813-52-SE24,LP_ADQ. DE PASAJES PARA CRUCES POR BARCAZA A IGTF TRAMO PUNTA DELGADA - BAHÍA AZUL desde 1000813-5-LE24,2024-02-23T11:22:24.93,SE,1000813-5-LE24,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24439,TRANSBORDADORA AUSTRAL BROOM S A,82.074.900-6,Punta Arenas,Región de Magallanes y de la Antártica,2,78101700,"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte marítimo de carga",78101703,Servicios de transporte nacional por barcazas,SERV. TRANS. MARITIMO BARCAZA CRUCE PUNTA DELGADA - BAHIA AZUL,16.0,,CLP,33613.0,537808.0,537808.0
1000813-52-SE24,LP_ADQ. DE PASAJES PARA CRUCES POR BARCAZA A IGTF TRAMO PUNTA DELGADA - BAHÍA AZUL desde 1000813-5-LE24,2024-02-23T11:22:24.93,SE,1000813-5-LE24,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24439,TRANSBORDADORA AUSTRAL BROOM S A,82.074.900-6,Punta Arenas,Región de Magallanes y de la Antártica,3,78101700,"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte marítimo de carga",78101703,Servicios de transporte nacional por barcazas,SERV. TRANS. MARITIMO BARCAZA CRUCE PUNTA DELGADA - BAHIA AZUL,8.0,,CLP,124370.0,994960.0,994960.0
1000813-52-SE24,LP_ADQ. DE PASAJES PARA CRUCES POR BARCAZA A IGTF TRAMO PUNTA DELGADA - BAHÍA AZUL desde 1000813-5-LE24,2024-02-23T11:22:24.93,SE,1000813-5-LE24,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24439,TRANSBORDADORA AUSTRAL BROOM S A,82.074.900-6,Punta Arenas,Región de Magallanes y de la Antártica,4,78101700,"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte marítimo de carga",78101703,Servicios de transporte nacional por barcazas,SERV. TRANS. MARITIMO BARCAZA CRUCE PUNTA DELGADA - BAHIA AZUL,9.0,,CLP,45798.0,412182.0,412182.0
1000813-52-SE24,LP_ADQ. DE PASAJES PARA CRUCES POR BARCAZA A IGTF TRAMO PUNTA DELGADA - BAHÍA AZUL desde 1000813-5-LE24,2024-02-23T11:22:24.93,SE,1000813-5-LE24,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24439,TRANSBORDADORA AUSTRAL BROOM S A,82.074.900-6,Punta Arenas,Región de Magallanes y de la Antártica,5,78101700,"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte marítimo de carga",78101703,Servicios de transporte nacional por barcazas,SERV. TRANS. MARITIMO BARCAZA CRUCE PUNTA DELGADA - BAHIA AZUL,18.0,,CLP,22689.0,408402.0,408402.0
